vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
60114784,0.64846414,0.8634812,0.8430034,0.6552901,0.8122867,0.6996587,0.7986348,0.22866894,0.0,0.49658704,0.6996587,0.51365185,0.5699659,0.7013652,0.6365439,1.4542781,1.1205415,-0.007691749,1.2542702,1.0861217,-1.5765079,3.0766568
63861466,0.4880546,0.3139932,0.38225257,0.5870307,0.46928328,0.59385663,0.9044369,0.12286689,0.0,0.90614337,0.85153586,0.82935154,0.8668942,0.86860067,0.2727372,1.2205948,-0.13462411,0.5978753,-0.5548757,-0.6020476,-0.262294,-0.3273782
73521747,0.887372,0.5238908,0.443686,0.48122868,0.721843,0.34129694,0.6552901,0.37201366,0.0,0.054607507,0.18259385,0.6365188,0.8805461,0.48122868,-0.803223,0.072179064,0.038349573,0.758674,0.9963216,0.9838084,-0.43811,0.9658227
66267199,0.83617747,0.6348123,0.7610921,0.8430034,0.53583616,0.93174064,0.9112628,0.11604095,0.0,0.26962456,0.22696246,0.38225257,0.3890785,0.25255972,1.1317571,-0.124516405,-1.0925112,0.33476615,0.83943987,0.8303385,-0.8633268,0.614081
74594561,0.7610921,0.86006826,0.6006826,0.3225256,0.82764506,0.20477815,0.8805461,0.14675768,0.0,0.102389075,0.011945393,0.018771332,0.03583618,0.017064847,-1.1821162,-0.3427747,-0.29898486,0.8022007,0.66621095,0.6939208,0.0985838,0.14586662
75326372,0.7918089,0.34129694,0.5443686,0.87030715,0.7883959,0.8634812,0.49488056,0.5324232,0.0,0.6825939,0.6672355,0.51365185,0.80375427,0.5716724,-0.44131497,0.62917036,-0.8690251,0.2831575,1.3939569,1.3930616,-0.8799624,1.2021639
76311426,0.6740614,0.0,0.0,0.0,0.0,0.0,0.25255972,0.76450515,0.9692833,0.79010236,0.5665529,0.7201365,0.6279864,0.7013652,0.34469444,1.2326456,-1.471682,1.0548366,-0.1667153,-0.15869,-0.0021736186,-0.5078747
73758964,0.6587031,0.68600684,0.8088737,0.8634812,0.21843003,0.97269624,0.49146757,0.53583616,0.0,1.0,1.0,1.0,1.0,1.0,-0.52554506,0.8251126,-0.7933772,0.76726395,-0.23476706,-0.19279444,0.20648904,-0.6567331
83141293,0.7133106,0.9522184,0.82935154,0.37883958,0.45221844,0.2764505,0.66382253,0.36348122,0.0,0.9197952,0.8805461,1.0,1.0,1.0,0.63494414,1.1703347,0.87891185,0.32733548,-1.5062207,-1.5740238,-1.215824,-0.7815982
89333872,0.0,0.0,0.0,0.0,0.05972696,0.04778157,0.0,0.0,0.0,0.18771331,0.5665529,0.7457338,0.83617747,0.39761093,-0.044927087,-0.040678218,-0.07012071,0.03857253,-2.3325472,-2.3243213,-6.8558884,-1.010135
86340088,0.8805461,0.77474403,0.5443686,0.3532423,0.93174064,0.1569966,0.6450512,0.37883958,0.9658703,0.087030716,0.03924915,0.15187714,0.090443686,0.32593855,-1.3420048,-0.3772621,0.5628365,-0.7927848,0.696464,0.6939208,-0.2782773,0.5546185
87588776,0.83959043,0.8020478,0.8805461,0.7986348,0.4129693,0.74061435,0.36177474,0.665529,0.0,0.6177474,0.85153586,0.82935154,0.778157,0.86860067,1.2922477,-0.24434757,-0.57566345,-0.24419247,0.6323036,0.59160745,-0.8606862,0.90696436
97393290,0.24914676,0.80716723,0.72525597,0.5460751,0.42320818,0.9283276,0.5802048,0.44709897,0.0,0.04778157,0.7457338,0.4112628,0.24914676,0.13822526,1.1602517,-0.30737033,-0.88256884,0.40444884,0.60158527,0.6086597,-0.6217852,0.20693982
91312084,0.45904437,0.45051193,0.4334471,0.52901024,0.12969284,0.25938568,0.058020476,0.9692833,0.0,0.34300342,0.5665529,0.32935154,0.54266214,0.25255972,-0.05692687,0.30129218,-0.0051210634,0.42420274,-2.0189936,-2.0173814,1.0501918,-0.99558944
